c_tipo_asenta,d_tipo_asenta,n_asenta
09,Colonia,30097
21,Fraccionamiento,13514
02,Barrio,1868
31,Unidad habitacional,1634
10,Condominio,676
30,Residencial,528
12,Conjunto habitacional,488
38,Ampliación,401
28,Pueblo,378
29,Ranchería,265
22,Gran usuario,222
37,Zona industrial,219
15,Ejido,213
26,Parque industrial,179
04,Campamento,101
33,Zona comercial,101
27,Poblado comunal,100
17,Equipamiento,72
11,Congregación,71
34,Zona federal,36
01,Aeropuerto,35
23,Granja,23
24,Hacienda,20
32,Villa,10
39,Club de golf,10
40,Puerto,10
18,Exhacienda,8
20,Finca,8
47,Zona militar,5
16,Estación,3
25,Ingenio,3
48,Rancho,3
08,Ciudad,2
45,Paraje,1
